200, 4
250, 6
180, 3
300, 5
220, 4
150, 2
350, 6
175, 3
400, 7
280, 5
320, 6
270, 4
290, 5
310, 6
200, 4
450, 7
230, 3
190, 4
260, 5
300, 6
330, 7
240, 4
210, 3
290, 6
340, 5
270, 4
280, 6
220, 3
250, 5
310, 7
350, 6
200, 3
180, 4
420, 7
370, 5
290, 4
260, 6
230, 3
310, 5
250, 4
280, 6
300, 7
320, 5
200, 4
450, 7
240, 3
210, 4
270, 5
330, 6
310, 7
220, 4
250, 3
280, 6
290, 5
300, 4
270, 6
240, 3
230, 5
200, 4
350, 7
180, 3
420, 6
370, 5
340, 4
310, 6
290, 3
250, 5
200, 4
260, 7
280, 6
300, 5
320, 4
330, 6
340, 7
240, 3
220, 5
260, 4
270, 6
200, 3
180, 4
350, 7
310, 6
290, 5
260, 4
230, 6
220, 3
280, 5
250, 4
300, 6
320, 7
200, 3
350, 6
330, 5
310, 4
270, 6
240, 3
220, 5
200, 4
370, 7
290, 6
260, 5
230, 4
200, 6
180, 3
320, 5
310, 4
280, 6
340, 7
250, 3
200, 5
270, 4
300, 6
330, 7
290, 5
240, 4
220, 6
200, 3
350, 5
310, 4
260, 6
230, 7
200, 3
180, 4
420, 7
370, 6
340, 5
310, 4
290, 6
250, 3
200, 5
260, 4
280, 6
300, 7
320, 5
340, 4
240, 6
220, 3
200, 5
350, 4
310, 6
290, 7
260, 5
230, 4
200, 6
180, 3
320, 5
310, 4
280, 6
340, 7
250, 3
