#country+name,#country+code,1960,#indicator+name,#indicator+code,#indicator+value+num
Ecuador,ECU,1960,5-bank asset concentration,GFDD.OI.06,-997.985.547.130.726
Ecuador,ECU,1960,5-bank asset concentration,GFDD.OI.06,-979.020.496.243.027
Ecuador,ECU,1960,5-bank asset concentration,GFDD.OI.06,-960.939.815.518.629
Ecuador,ECU,1960,5-bank asset concentration,GFDD.OI.06,-955.280.957.837.223
Ecuador,ECU,1960,5-bank asset concentration,GFDD.OI.06,-872.439.956.665.039
Ecuador,ECU,1960,5-bank asset concentration,GFDD.OI.06,-871.513.414.023.619
Ecuador,ECU,1960,5-bank asset concentration,GFDD.OI.06,-853.512.736.632.894
Ecuador,ECU,1960,5-bank asset concentration,GFDD.OI.06,-845.590.039.677.851
Ecuador,ECU,1960,5-bank asset concentration,GFDD.OI.06,-839.089.566.872.535
Ecuador,ECU,1960,5-bank asset concentration,GFDD.OI.06,-836.939.593.895.645
Ecuador,ECU,1960,5-bank asset concentration,GFDD.OI.06,-829.041.803.529.517
Ecuador,ECU,1960,5-bank asset concentration,GFDD.OI.06,-772.389.946.091.118
Ecuador,ECU,1960,5-bank asset concentration,GFDD.OI.06,-771.406.676.367.923
Ecuador,ECU,1960,5-bank asset concentration,GFDD.OI.06,-770.999.984.741.211
Ecuador,ECU,1960,5-bank asset concentration,GFDD.OI.06,-763.760.386.486.543
Ecuador,ECU,1960,5-bank asset concentration,GFDD.OI.06,-747.521.994.097.282
Ecuador,ECU,1960,5-bank asset concentration,GFDD.OI.06,-744.440.927.696.819
Ecuador,ECU,1960,5-bank asset concentration,GFDD.OI.06,-727.081.206.263.418
Ecuador,ECU,1960,5-bank asset concentration,GFDD.OI.06,-677.633.874.181.375
Ecuador,ECU,1960,5-bank asset concentration,GFDD.OI.06,-677.301.568.265.286
Ecuador,ECU,1960,5-bank asset concentration,GFDD.OI.06,-672.352.996.216.242
Ecuador,ECU,1960,5-bank asset concentration,GFDD.OI.06,-666.995.361.300.002
Ecuador,ECU,1960,Account at a formal financial institution (% age 15+),GFDD.AI.05,-666.412.083.566.337
Ecuador,ECU,1960,Account at a formal financial institution (% age 15+),GFDD.AI.05,-656.303.985.494.884
Ecuador,ECU,1960,Account at a formal financial institution (% age 15+),GFDD.AI.05,-647.301.150.926.887
Ecuador,ECU,1961,Account at a formal financial institution (% age 15+),GFDD.AI.05,-646.299.303.639.416
Ecuador,ECU,1961,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,-646.084.358.687.904
Ecuador,ECU,1961,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,-629.582.412.259.198
Ecuador,ECU,1961,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,-615.996.822.452.199
Ecuador,ECU,1961,Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),FX.OWN.TOTL.ZS,-615.101.719.595.403
Ecuador,ECU,1961,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FX.OWN.TOTL.FE.ZS,-604.830.422.797.031
Ecuador,ECU,1961,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FX.OWN.TOTL.FE.ZS,-597.598.693.621.638
Ecuador,ECU,1961,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FX.OWN.TOTL.FE.ZS,-577.025.143.002.158
Ecuador,ECU,1961,"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",FX.OWN.TOTL.FE.ZS,-562.638.870.364.523
Ecuador,ECU,1961,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",FX.OWN.TOTL.MA.ZS,-508.120.267.534.888
Ecuador,ECU,1961,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",FX.OWN.TOTL.MA.ZS,-493.413.835.545.644
Ecuador,ECU,1961,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",FX.OWN.TOTL.MA.ZS,-482.660.428.444.028
Ecuador,ECU,1961,"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",FX.OWN.TOTL.MA.ZS,-453.213.631.473.084
Ecuador,ECU,1961,"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",FX.OWN.TOTL.OL.ZS,-440.342.221.941.404
Ecuador,ECU,1961,"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",FX.OWN.TOTL.OL.ZS,-435.602.311.864.138
Ecuador,ECU,1961,"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",FX.OWN.TOTL.OL.ZS,-409.787.246.399.999
Ecuador,ECU,1961,"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",FX.OWN.TOTL.OL.ZS,-408.788.751.694.683
Ecuador,ECU,1961,"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",FX.OWN.TOTL.40.ZS,-408.323.726.839.551
Ecuador,ECU,1961,"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",FX.OWN.TOTL.40.ZS,-404.679.730.961.203
Ecuador,ECU,1961,"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",FX.OWN.TOTL.40.ZS,-399.099.295.795.224
Ecuador,ECU,1961,"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",FX.OWN.TOTL.40.ZS,-392.376.785.729.951
Ecuador,ECU,1961,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,-374.356.920.631.501
Ecuador,ECU,1961,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,-372.765.986.427.892
Ecuador,ECU,1961,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,-369.025.993.347.168
Ecuador,ECU,1961,"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",FX.OWN.TOTL.PL.ZS,-355.599.675.459.983
Ecuador,ECU,1961,"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",FX.OWN.TOTL.60.ZS,-353.192.999.788.626
Ecuador,ECU,1961,"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",FX.OWN.TOTL.60.ZS,-348.410.482.277.238
Ecuador,ECU,1961,"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",FX.OWN.TOTL.60.ZS,-339.246.123.508.798
Ecuador,ECU,1962,"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",FX.OWN.TOTL.60.ZS,-338.872.392.562.274
Ecuador,ECU,1962,"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",FX.OWN.TOTL.SO.ZS,-332.031.498.308.176
Ecuador,ECU,1962,"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",FX.OWN.TOTL.SO.ZS,-331.880.178.821.476
Ecuador,ECU,1962,"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",FX.OWN.TOTL.SO.ZS,-327.927.131.616.715
Ecuador,ECU,1962,"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",FX.OWN.TOTL.SO.ZS,-320.292.260.361.767
Ecuador,ECU,1962,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",FX.OWN.TOTL.YG.ZS,-306.611.595.560.131
Ecuador,ECU,1962,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",FX.OWN.TOTL.YG.ZS,-305.210.817.018.087
Ecuador,ECU,1962,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",FX.OWN.TOTL.YG.ZS,-301.103.999.705.775
Ecuador,ECU,1962,"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",FX.OWN.TOTL.YG.ZS,-294.886.594.202.551
Ecuador,ECU,1962,Account used for business purposes (% age 15+),GFDD.AI.08,-293.836.013.412.555
Ecuador,ECU,1962,Account used for business purposes (% age 15+),GFDD.AI.08,-288.638.299.333.378
Ecuador,ECU,1962,Account used to receive remittances (% age 15+),GFDD.AI.10,-287.220.003.137.173
Ecuador,ECU,1962,Account used to receive remittances (% age 15+),GFDD.AI.10,-280.903.142.324.724
Ecuador,ECU,1962,Account used to receive wages (% age 15+),GFDD.AI.11,-275.662.038.948.594
Ecuador,ECU,1962,Account used to receive wages (% age 15+),GFDD.AI.11,-262.999.928.320.854
Ecuador,ECU,1962,Account used to receive wages (% age 15+),GFDD.AI.11,-261.515.156.906.199
Ecuador,ECU,1962,"ATMs per 100,000 adults",GFDD.AI.25,-257.239.099.030.649
Ecuador,ECU,1962,"ATMs per 100,000 adults",GFDD.AI.25,-249.102.075.763.332
Ecuador,ECU,1962,"ATMs per 100,000 adults",GFDD.AI.25,-237.417.620.817.999
Ecuador,ECU,1962,"ATMs per 100,000 adults",GFDD.AI.25,-234.393.679.139.981
Ecuador,ECU,1962,"ATMs per 100,000 adults",GFDD.AI.25,-233.710.640.771.947
Ecuador,ECU,1962,"ATMs per 100,000 adults",GFDD.AI.25,-227.071.129.813.025
Ecuador,ECU,1962,"ATMs per 100,000 adults",GFDD.AI.25,-226.881.420.086.383
Ecuador,ECU,1962,"ATMs per 100,000 adults",GFDD.AI.25,-224.103.246.005.465
Ecuador,ECU,1962,"ATMs per 100,000 adults",GFDD.AI.25,-222.877.440.041.495
Ecuador,ECU,1962,"ATMs per 100,000 adults",GFDD.AI.25,-220.865.572.543.648
Ecuador,ECU,1962,"ATMs per 100,000 adults",GFDD.AI.25,-218.875.557.393.476
Ecuador,ECU,1962,"ATMs per 100,000 adults",GFDD.AI.25,-215.485.756.035.743
Ecuador,ECU,1963,"ATMs per 100,000 adults",GFDD.AI.25,-207.101.882.744.844
Ecuador,ECU,1963,"ATMs per 100,000 adults",GFDD.AI.25,-206.205.039.992.692
Ecuador,ECU,1963,"ATMs per 100,000 adults",GFDD.AI.25,-205.991.160.704.999
Ecuador,ECU,1963,"ATMs per 100,000 adults",GFDD.AI.25,-205.607.898.849.074
Ecuador,ECU,1963,"ATMs per 100,000 adults",GFDD.AI.25,-201.664.560.610.415
Ecuador,ECU,1963,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,-200.102.446.343.362
Ecuador,ECU,1963,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,-199.268.193.369.195
Ecuador,ECU,1963,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,-195.564.937.140.605
Ecuador,ECU,1963,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,-194.830.266.689.471
Ecuador,ECU,1963,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,-194.499.567.895.304
Ecuador,ECU,1963,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,-190.084.559.845.617
Ecuador,ECU,1963,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,-189.418.195.605.033
Ecuador,ECU,1963,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,-180.091.614.525.457
Ecuador,ECU,1963,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,-178.622.619.200.246
Ecuador,ECU,1963,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,-177.462.289.293.588
Ecuador,ECU,1963,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,-167.343.795.053.778
Ecuador,ECU,1963,"Automated teller machines (ATMs) (per 100,000 adults)",FB.ATM.TOTL.P5,-165.893.320.363.638
